City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Carnarvon,-24.8667,113.6333,64.47,94.0,40,8.05,AU,1650921858
Nikolskoye,59.7035,30.7861,42.87,97.0,100,5.06,RU,1650921995
Cayenne,4.9333,-52.3333,80.1,1.0,0,0.0,GF,1650922135
Plastun,44.7561,136.2939,39.31,88.0,4,10.71,RU,1650922135
Atuona,-9.8,-139.0333,78.28,79.0,24,16.06,PF,1650921999
Jamestown,42.097,-79.2353,80.24,41.0,20,12.66,US,1650922135
Rikitea,-23.1203,-134.9692,76.78,74.0,73,14.85,PF,1650922136
Hermanus,-34.4187,19.2345,50.81,72.0,0,6.15,ZA,1650922136
Vaini,-21.2,-175.2,72.28,87.0,100,7.11,TO,1650922136
Pantai Remis,4.4557,100.6288,77.02,88.0,99,4.63,MY,1650922137
Svetlaya,46.5389,138.3297,34.9,85.0,100,16.69,RU,1650922137
Longyearbyen,78.2186,15.6401,3.04,55.0,40,16.11,SJ,1650921867
Mataura,-46.1927,168.8643,51.48,82.0,70,6.58,NZ,1650921985
Avarua,-21.2078,-159.775,82.45,78.0,20,9.22,CK,1650922138
Tahoua,14.8888,5.2692,89.91,10.0,97,10.31,NE,1650922138
Vestmannaeyjar,63.4427,-20.2734,45.59,85.0,66,12.64,IS,1650922139
Columbus,39.9612,-82.9988,73.81,85.0,100,19.57,US,1650922018
Punta Arenas,-53.15,-70.9167,42.91,70.0,40,21.85,CL,1650921986
Kahului,20.8947,-156.47,82.42,64.0,40,24.16,US,1650921849
Lagunas,-5.2269,-75.6753,83.43,67.0,67,4.81,PE,1650922140
Kirakira,-10.4544,161.9205,82.29,80.0,93,3.49,SB,1650922141
Ushuaia,-54.8,-68.3,42.46,70.0,75,17.27,AR,1650921996
Port Alfred,-33.5906,26.891,59.85,77.0,31,13.38,ZA,1650922002
Cape Town,-33.9258,18.4232,60.91,70.0,0,10.36,ZA,1650921843
Iralaya,15.0,-83.2333,80.46,83.0,28,9.4,HN,1650922141
José de Freitas,-4.7564,-42.5756,86.95,90.0,32,3.71,BR,1650922142
Tasiilaq,65.6145,-37.6368,32.16,96.0,100,8.41,GL,1650922012
Roebourne,-20.7833,117.1333,74.79,71.0,77,8.39,AU,1650922143
Kavieng,-2.5744,150.7967,81.41,78.0,77,10.89,PG,1650922102
Cherskiy,68.75,161.3,26.44,70.0,100,3.29,RU,1650922143
Nanortalik,60.1432,-45.2371,35.28,89.0,98,6.02,GL,1650922143
Aklavik,68.2191,-135.0107,33.37,100.0,100,4.47,CA,1650922144
Acapulco de Juárez,16.8634,-99.8901,85.82,66.0,0,10.36,MX,1650922008
Bjerkvik,68.5597,17.5189,28.99,91.0,100,9.42,NO,1650922145
Morondava,-20.2833,44.2833,82.17,75.0,90,8.55,MG,1650922145
Lac du Bonnet,50.2536,-96.0612,26.01,87.0,100,11.05,CA,1650922146
Busselton,-33.65,115.3333,61.81,66.0,97,17.09,AU,1650922010
Provideniya,64.3833,-173.3,26.71,80.0,75,20.13,RU,1650922018
Den Helder,52.9599,4.7593,48.18,73.0,28,17.0,NL,1650922146
Grand Gaube,-20.0064,57.6608,73.8,81.0,38,4.0,MU,1650922147
East London,-33.0153,27.9116,62.33,70.0,15,14.79,ZA,1650921997
Terney,45.0503,136.6092,38.84,87.0,53,11.48,RU,1650922148
Thompson,55.7435,-97.8558,26.76,28.0,40,4.61,CA,1650921975
Cuencamé de Ceniceros,24.8711,-103.6964,87.69,11.0,0,8.79,MX,1650922149
New Norfolk,-42.7826,147.0587,48.9,88.0,88,2.3,AU,1650921881
Mackenzie,55.2999,-123.1698,46.62,66.0,100,10.36,CA,1650922149
Llanes,43.4198,-4.7549,56.79,81.0,98,9.53,ES,1650921991
Jizan,17.3333,42.6667,88.74,49.0,0,4.27,SA,1650922150
Arman',59.7,150.1667,26.28,68.0,100,9.95,RU,1650922150
Barrow,71.2906,-156.7887,14.02,79.0,100,11.5,US,1650922151
Tuktoyaktuk,69.4541,-133.0374,19.4,86.0,20,5.75,CA,1650921990
Arraial do Cabo,-22.9661,-42.0278,75.06,78.0,0,6.91,BR,1650922008
Mahébourg,-20.4081,57.7,73.69,88.0,40,12.66,MU,1650922152
Aberdeen,57.1437,-2.0981,45.5,84.0,100,4.61,GB,1650922152
Mar del Plata,-38.0023,-57.5575,60.87,73.0,0,8.05,AR,1650921876
Hanchuan,30.65,113.7667,66.31,92.0,77,4.81,CN,1650922153
Guararema,-23.415,-46.035,78.94,85.0,2,2.48,BR,1650922145
Albany,42.6001,-73.9662,68.23,33.0,100,5.99,US,1650921758
Oytal,42.9057,73.2697,49.77,68.0,1,3.83,KZ,1650922154
Kapaa,22.0752,-159.319,80.58,76.0,75,17.27,US,1650921987
Soanierana Ivongo,-16.9167,49.5833,74.03,91.0,81,5.12,MG,1650922154
Cranbourne,-38.1,145.2833,54.36,65.0,70,4.0,AU,1650921939
Bredasdorp,-34.5322,20.0403,54.95,75.0,0,3.18,ZA,1650922155
Phalodi,27.1333,72.3667,84.54,32.0,21,14.47,IN,1650922155
Almonte,37.2647,-6.5167,62.87,77.0,99,6.98,ES,1650922156
Qui Nhon,13.7667,109.2333,76.91,90.0,23,5.19,VN,1650922156
Castro,-24.7911,-50.0119,64.54,80.0,0,2.48,BR,1650922015
Bluff,-46.6,168.3333,51.8,67.0,98,24.14,NZ,1650921836
Pokhvistnevo,53.6524,52.1274,54.93,79.0,90,6.02,RU,1650922157
Namatanai,-3.6667,152.4333,79.54,79.0,100,5.23,PG,1650922157
Loksa,59.5764,25.7214,37.08,92.0,12,6.93,EE,1650922157
Ambilobe,-13.2,49.05,72.68,83.0,99,3.87,MG,1650922158
Yellowknife,62.456,-114.3525,43.32,45.0,75,11.5,CA,1650921998
Constitución,-35.3333,-72.4167,55.92,82.0,100,8.1,CL,1650922159
Saint-Michel-des-Saints,46.6834,-73.9159,52.36,90.0,100,11.68,CA,1650922159
Caucaia,-3.7361,-38.6531,83.03,75.0,40,10.36,BR,1650922106
Saskylakh,71.9167,114.0833,-6.09,100.0,100,3.85,RU,1650922019
Suez,29.9737,32.5263,67.86,62.0,0,13.31,EG,1650922112
Beşikdüzü,41.052,39.2284,55.29,53.0,5,8.43,TR,1650922160
Tual,-5.6667,132.75,83.35,72.0,100,3.33,ID,1650922160
Camocim,-2.9022,-40.8411,78.53,88.0,84,9.15,BR,1650922161
Drovyanaya,51.5833,113.0333,27.84,38.0,100,10.36,RU,1650922161
Bosaso,11.2842,49.1816,84.52,67.0,33,5.08,SO,1650922161
Camapuã,-19.5314,-54.0439,86.86,41.0,57,8.21,BR,1650922162
Puerto Ayora,-0.7393,-90.3518,76.96,78.0,86,11.14,EC,1650921813
Pisco,-13.7,-76.2167,69.85,73.0,0,4.61,PE,1650922162
Akdağmadeni,39.6603,35.8836,60.49,33.0,68,6.44,TR,1650922163
Ancud,-41.8697,-73.8203,51.22,91.0,100,31.72,CL,1650922163
Olafsvik,64.8945,-23.7142,44.82,74.0,97,5.75,IS,1650921994
Esperance,-33.8667,121.9,69.64,40.0,100,23.06,AU,1650922018
Chuguyevka,44.1653,133.8633,48.99,68.0,13,4.74,RU,1650922164
Bengkulu,-3.8004,102.2655,76.33,86.0,100,7.63,ID,1650921858
Hilo,19.7297,-155.09,83.28,79.0,100,5.75,US,1650921877
Faanui,-16.4833,-151.75,81.39,72.0,10,10.47,PF,1650921998
Tim,51.6222,37.1244,51.6,73.0,83,8.03,RU,1650922165
Roseburg,43.2165,-123.3417,58.17,62.0,100,4.61,US,1650922065
Thinadhoo,0.5333,72.9333,84.4,73.0,34,6.29,MV,1650922012
São Miguel do Araguaia,-13.275,-50.1628,80.62,65.0,10,4.29,BR,1650922165
Honiara,-9.4333,159.95,80.8,80.0,14,3.15,SB,1650922166
Tautira,-17.7333,-149.15,80.83,74.0,8,11.03,PF,1650921996
Samdrup Jongkhar District,26.9167,91.6167,64.33,66.0,1,5.44,BT,1650922166
Katsuura,35.1333,140.3,67.03,92.0,99,6.06,JP,1650922148
Nongpoh,25.9,91.8833,69.53,76.0,0,2.57,IN,1650922167
